stID,stName,Lat,Long,Elev,Network,stType,Precip_1h
scm01,Sand_Creek_Massacre_HS_7.5_mi_NNE_of_Chivington,38.5439,-102.503,1207.9,CoAgMet,CoAgMet,0.508
sld01,Salida_Near_Salida,38.5715,-106.043,2202.8,CoAgMet,CoAgMet,0
stg01,Sterling_Sterling,40.2744,-103.014,1363.1,CoAgMet,CoAgMet,0.508
stn01,Stratton_Stratton,39.2987,-102.522,1317,CoAgMet,CoAgMet,0
twc01,Towaoc_Ute_Mtn_Ute_Farm,37.1891,-108.935,1621.2,CoAgMet,CoAgMet,0
uwr70,United_Water_West_of_Wiggins,40.3806,-104.35,1427.1,CoAgMet,CoAgMet,0
wcf01,Westcliffe_2_mi_NW_Westcliffe,38.1503,-105.499,2357.3,CoAgMet,CoAgMet,1.524
wfd01,Wolford_Mtn_Reservoir_5_mi_NNW_Kremmling,40.1387,-106.415,2292.1,CoAgMet,CoAgMet,0
wls01,Walsh_Plainsman_Research_Center_in_Walsh_CO,37.383,-102.294,1211.3,CoAgMet,CoAgMet,0
yjk01,Yellow_Jacket_2.5_mi_NW_Yellow_Jacket,37.5289,-108.724,2103.1,CoAgMet,CoAgMet,0
yuc01,Yucca_House_Mesa_Verde_Natl_Monument,37.2478,-108.687,1821.2,CoAgMet,CoAgMet,0
yum02,Yuma_2_mi_N_Yuma,40.1504,-102.724,1250.9,CoAgMet,CoAgMet,0
CEZC2,MESA_VERDE_NP_CORTEZ_8_SE_CO_US,37.2553,-108.5035,2448.7,GSD_ESRL,CRN2,0
DNOC2,DINOSAUR_NAT_MONUMNT_DINOSAUR_2E_CO_US,40.2447,-108.9678,1828.8,GSD_ESRL,CRN2,0
LCRC2,COMANCHE_GRASSLAND_LA_JUNTA_17WSWCO_US,37.8639,-103.8224,1336.9,GSD_ESRL,CRN2,0
MTSC2,BLACK_CANYON_MONTROSE_11_ENE_CO_US,38.5439,-107.6928,2514.6001,GSD_ESRL,CRN2,0
NNWC2,CSU_SGS_LTER_CENTRAL_NUNN_7_NNE_CO_US,40.8067,-104.755,1642.9,GSD_ESRL,CRN2,0
WRBC2,CU_HILLS_MILL_BOULDER_14_W_CO_US,40.0353,-105.5408,2995.6001,GSD_ESRL,CRN2,0.9
ADBC2,ADOBE_RESERVOIR_NEAR_LAS_ANIMAS_12NNW_(ADORESCO),38.2347,-103.2789,1263,HADS,MesoWest,0.2
APSC2,APISHAPA,37.33,-105.07,3048,SNOTEL,MesoWest,2.5
ARCC2,ARKANSAS_RIVER_NEAR_ROCKY_FORD_2NE_(ARKROCCO),38.0644,-103.69,1262,HADS,MesoWest,0
ARMC2,ARKANSAS_RIVER_AT_MOFFAT_STREET_AT_PUEBLO,38.2536,-104.6056,1418,HADS,MesoWest,0
ATWC2,SOUTH_PLATTE_RIVER_NEAR_ATWOOD_1SSE_(PLAATWCO_and_SPRRETCO),40.54,-103.2661,1215,HADS,MesoWest,0
BCCC2,BENT_CANYON_CREEK_AT_MOUTH_NEAR_TIMPAS_17SE,37.5892,-103.6478,1347,HADS,MesoWest,0
BCKC2,BOB_CREEK,38.1828,-103.7661,1302,HADS,MesoWest,0
BCVC2,BEAVER_CK_VILLAGE,39.6,-106.51,2591,SNOTEL,MesoWest,0
BECC2,BEAR_CREEK_NEAR_COLORADO_SPRINGS_4W,38.8225,-104.8881,1993,HADS,MesoWest,0
BHBC2,BLUE_RIVER_AT_HIGHWAY_9_BRIDGE_NEAR_FRISCO_4SE,39.5417,-106.0444,2808,HADS,MesoWest,1.1
BKIC2,BUCKEYE_RESERVOIR_NEAR_PARADOX_6NW_(BKIRESCO),38.4367,-109.0444,2321,HADS,MesoWest,0
BLKC2,BEAR_LAKE,40.31,-105.64,2896,SNOTEL,MesoWest,0
BLSC2,BISON_LAKE,39.76,-107.36,3316,SNOTEL,MesoWest,0
BRMC2,BRUMLEY,39.09,-106.54,3231,SNOTEL,MesoWest,0
BRRC2,BEAR_RIVER,40.06,-107.01,2768,SNOTEL,MesoWest,0
BRTC2,BEARTOWN,37.71,-107.51,3536,SNOTEL,MesoWest,0
BSMC2,BEAR_SPRINGS_HILLS_MET_STATION_NEAR_DELHI_8SE,37.5422,-103.9319,1588,HADS,MesoWest,0
BTEC2,BIG_THOMPSON_RIVER_ABOVE_LAKE_ESTES_1E_(BTABESCO),40.3783,-105.5133,2289,HADS,MesoWest,0.5
BTSC2,BERTHOUD_SUMMIT,39.8,-105.78,3444,SNOTEL,MesoWest,0
BUCC2,BUCKSKIN_JOE,39.3,-106.11,3399,SNOTEL,MesoWest,0
BUFC2,BUFFALO_PARK,40.23,-106.6,2816,SNOTEL,MesoWest,0
BURC2,BURRO_MOUNTAIN,39.88,-107.6,2865,SNOTEL,MesoWest,5.1
BUTC2,BUTTE,38.89,-106.95,3097,SNOTEL,MesoWest,0
BWMC2,BURSON_WELL_MET_STATION_NEAR_THATCHER,37.5011,-104.0556,1718,HADS,MesoWest,9.9
CADC2,CASCADE_2,37.66,-107.8,2719,SNOTEL,MesoWest,2.6
CDTC2,CHILCOTT_DITCH_NEAR_FOUNTAIN_2N_(CHIDITCO),38.7078,-104.7158,1708,HADS,MesoWest,0
CDVC2,CHERRY_CREEK_NEAR_DENVER_1W,39.7425,-104.9994,1588,HADS,MesoWest,0
CHKC2,CHALK_CREEK_AT_NATHROP,38.7336,-106.1594,2486,HADS,MesoWest,0
CIGC2,CIG_PIPELINE_SOUTH_MET_STATION_NEAR_SIMPSON,37.4558,-103.9989,1592,HADS,MesoWest,0.2
CKSC2,SOUTH_PLATTE_RIVER_NEAR_CROOK_1SW_(PLACROCO),40.8433,-102.8133,1133,HADS,MesoWest,0
CLRC2,CLEAR_CREEK_RESERVOIR_NEAR_GRANITE_2S,39.0219,-106.2428,2688,HADS,MesoWest,0
CMBC2,COLUMBUS_BASIN,37.44,-108.02,3287,SNOTEL,MesoWest,0
CMSC2,CANTONMENT_MET_STATION_AT_SIMPSON,37.4997,-104.1597,1716,HADS,MesoWest,1.3
CO033,Monument_Hill_(85),39.1222,-104.8654,2226,CDOT,MesoWest,0
CO109,N_93_Jct_93_and_72_(36),39.8656,-105.2397,1887,CDOT,MesoWest,0
COLC2,COLUMBINE,40.39,-106.6,2792,SNOTEL,MesoWest,0
COPC2,COPELAND_LAKE,40.21,-105.57,2621,SNOTEL,MesoWest,2.5
CPMC2,COPPER_MOUNTAIN,39.49,-106.17,3200,SNOTEL,MesoWest,0
CPSC2,COLUMBINE_PASS,38.42,-108.38,2865,SNOTEL,MesoWest,0
CRSC2,CROSHO,40.17,-107.06,2774,SNOTEL,MesoWest,0
CSCC2,CASCADE,37.65,-107.81,2707,SNOTEL,MesoWest,2.6
CTEC2,SAINT_ELMO,38.7,-106.35,3213,SNOTEL,MesoWest,0
CULC2,CULEBRA_2,37.21,-105.2,3200,SNOTEL,MesoWest,0
CUMC2,CUMBRES_TRESTLE,37.02,-106.45,3054,SNOTEL,MesoWest,0
CWMC2,CANTONMENT_WINDMILL_MET_STATION_NEAR_TYRONE,37.4256,-104.1583,1668,HADS,MesoWest,0
CZSC2,COCHETOPA_PASS,38.16,-106.6,3054,SNOTEL,MesoWest,0
DDMC2,DEADMAN_HILL,40.81,-105.77,3115,SNOTEL,MesoWest,0
DGLC2,DOUGLAS_RESERVOIR_NEAR_RUSH_14SE,38.715,-103.8872,1597,HADS,MesoWest,0
DKMC2,DOUGLAS_CREEK_MET_STATION_ABOVE_FLYING_W_RANCH_RD_NEAR_COLORADO_SPRINGS,38.9222,-104.8844,2154,HADS,MesoWest,0
DKSC2,DOUGLAS_CREEK_MET_ABOVE_NORTH_CHESTNUT_ST_AT_COLORADO_SPRINGS,38.8969,-104.8372,1910,HADS,MesoWest,0
DTOC2,DOLORES_TUNNEL_OUTLET_NEAR_DOLORES_(DOLTUNCO),37.4667,-108.5417,2146,HADS,MesoWest,0.15
DTXC2,MUDDY_CREEK_NEAR_DEER_TRAIL_7ENE,39.6506,-103.9278,1570,HADS,MesoWest,0
ECLC2,ECHO_LAKE,39.66,-105.59,3231,SNOTEL,MesoWest,2.6
EDSC2,EL_DIENTE_PEAK,37.79,-108.02,3109,SNOTEL,MesoWest,0
EGDC2,CHERRY_CREEK_RESERVOIR_NEAR_DENVER_9SE,39.6508,-104.8536,1706,HADS,MesoWest,0
ELKC2,ELK_RIVER,40.85,-106.97,2652,SNOTEL,MesoWest,2.6
ELRC2,ELLIOT_RIDGE,39.86,-106.42,3206,SNOTEL,MesoWest,0
EYRC2,CAMP_CREEK_ABOVE_GLEN_EYRIE_NEAR_COLORADO_SPRINGS,38.9075,-104.9036,2214,HADS,MesoWest,0
FBRC2,FIRST_CREEK_BELOW_BUCKLEY_ROAD_AT_ROCKY_MOUNTAIN_ARSENAL_NEAR_AURORA_6NE,39.8081,-104.7933,1619,CRN,MesoWest,0
FCSC2,MPRC_MET_STATION_AT_FORT_CARSON,38.4586,-104.7936,1761,HADS,MesoWest,0
FCUC2,FOUNTAIN_CREEK_BELOW_JANITELL_ROAD_NEAR_COLORADO_SPRINGS_2S,38.8031,-104.7953,1787,HADS,MesoWest,0
FMTC2,FREMONT_PASS,39.38,-106.2,3475,SNOTEL,MesoWest,0
FSEC2,FOUNTAIN_CREEK_AT_SECURITY_NEAR_COLORADO_SPRINGS_7S,38.7294,-104.7333,1726,HADS,MesoWest,0
GCHC2,GOOSE_CREEK_ABOVE_HUMPHREYS_RESERVOIR,37.6764,-106.8594,2742,HADS,MesoWest,0
GCWC2,GRAPE_CREEK_NEAR_WESTCLIFFE_4NNW_(GRAWESCO),38.1861,-105.4831,2346,HADS,MesoWest,0.2
GLNC2,GLEN_COVE,38.88,-105.07,3493,SNOTEL,MesoWest,0
GLVC2,HIGH_PARK_AT_GLACIER_VIEW_NEAR_LIVERMORE,40.7056,-105.4111,2296,HADS,MesoWest,0.5
GMSC2,INDIAN_SPRINGS_MET_STATION_NEAR_GREAT_SAND_DUNES_NEAR_CRESTONE_16S,37.7642,-105.6267,2348,HADS,MesoWest,0
GRHC2,GROUNDHOG_RESERVOIR_NEAR_DUNTON_NEAR_RICO_16WNW,37.7889,-108.2917,2670,HADS,MesoWest,0.3
GUTC2,GUTIERREZ_WINDMILL_MET_STATION_NEAR_MODEL,37.3803,-103.9592,1561,HADS,MesoWest,0
GYBC2,GRAYBACK,37.47,-106.54,3542,SNOTEL,MesoWest,0
GZPC2,GRIZZLY_PEAK,39.65,-105.87,3383,SNOTEL,MesoWest,0
HAPC2,CHAPMAN_TUNNEL,39.25,-106.617,3082,SNOTEL,MesoWest,0
HGBC2,ROURKE_MET_STATION_NEAR_HIGBEE,37.6183,-103.6853,1434,HADS,MesoWest,0
HGUC2,HARVARD_GULCH_AT_UNIVERSITY_PK_NEAR_GLENDALE_2SSW,39.6747,-104.9497,1644,HADS,MesoWest,0.3
HMZC2,HUERFANO_RIVER_AT_MANZANARES_CROSSING_NEAR_RED_WING_3WSW,37.7278,-105.3508,2575,HADS,MesoWest,0.2
HONC2,BIG_ARROYO_HILLS_MET_STATION_NEAR_HOUGHTON,37.5544,-103.99,1677,HADS,MesoWest,2
HOOC2,HOOSIER_PASS,39.36,-106.06,3475,SNOTEL,MesoWest,0
HPAC2,HAYDEN_PASS,38.267,-105.85,3267,SNOTEL,MesoWest,0
HRLC2,HOURGLASS_LAKE,40.567,-105.617,2859,SNOTEL,MesoWest,0
IDPC2,INDEPENDENCE_PASS,39.08,-106.61,3231,SNOTEL,MesoWest,0
IDRC2,IDARADO,37.93,-107.68,2987,SNOTEL,MesoWest,0
IVHC2,IVANHOE,39.29,-106.55,3170,SNOTEL,MesoWest,0
JNPC2,JONES_PASS,39.76,-105.91,3170,SNOTEL,MesoWest,0
JULC2,SOUTH_PLATTE_RIVER_AT_CHANNEL_2_NEAR_JULESBURG_1SE_(PLAJURCO),40.9792,-102.2542,1052,HADS,MesoWest,0
JWGC2,JACKWHACKER_GULCH,39.57,-105.8,3341,SNOTEL,MesoWest,2.5
JWRC2,JOE_WRIGHT,40.53,-105.89,3085,SNOTEL,MesoWest,0
KLNC2,KILN,39.32,-106.61,2926,SNOTEL,MesoWest,0
KRBC2,KERBER_CREEK_NEAR_VILLA_GROVE_7W_(KERVILCO),38.2203,-106.0889,2683,HADS,MesoWest,0
LAWC2,RAIN_GAGE_AT_LAWSON_CLEAR_CREEK_NEAR_LAWSON_NEAR_IDAHO_SPRINGS_6WNW,39.7658,-105.6422,2670,HADS,MesoWest,0
LBAC2,LOVELAND_BASIN,39.67,-105.9,3475,SNOTEL,MesoWest,0
LCDC2,LA_PLATA_CHERRY_CREEK_DITCH_NEAR_HESPERUS_13SW_(LPCDITCO),37.3239,-108.0614,2585,HADS,MesoWest,0
LELC2,LAKE_ELDORA,39.94,-105.59,2957,SNOTEL,MesoWest,0
LIZC2,LIZARD_HEAD_PASS,37.8,-107.92,3109,SNOTEL,MesoWest,0
LJCC2,LAJARA_CREEK_AT_GALLEGOS_RANCH_NEAR_CAPULIN_6SW,37.2089,-106.1878,2470,HADS,MesoWest,0
LKIC2,LAKE_IRENE,40.41,-105.82,3261,SNOTEL,MesoWest,0
LNCC2,LONE_CONE,37.89,-108.2,2926,SNOTEL,MesoWest,0
LOTC2,LOST_DOG,40.82,-106.75,2841,SNOTEL,MesoWest,0
LPDC2,LILY_POND,37.38,-106.55,3353,SNOTEL,MesoWest,2.6
LRVC2,LONG_DRAW_RESV,40.51,-105.77,3042,SNOTEL,MesoWest,0
LWAC2,LOWER_WALDO_CANYON_MET_ABOVE_MANITOU_SPRINGS_2NW,38.8781,-104.9336,2139,HADS,MesoWest,0
LYNC2,LYNX_PASS,40.08,-106.67,2707,SNOTEL,MesoWest,0
MCBC2,MONUMENT_CREEK_AT_BIJOU_STREET_AT_COLORADO_SPRINGS,38.8372,-104.8289,1829,HADS,MesoWest,0
MCHC2,MORMON_CONTROL_HOUSE_WEATHER_STATION,39.3553,-106.5339,3101,HADS,MesoWest,0
MCPC2,MC_CLURE_PASS,39.13,-107.29,2896,SNOTEL,MesoWest,5
MCYC2,MCCOY_PARK,39.6,-106.54,2890,SNOTEL,MesoWest,0
MDLC2,MIDDLE_CREEK,37.62,-107.03,3429,SNOTEL,MesoWest,0
MDPC2,MEDANO_PASS,37.85,-105.44,2932,SNOTEL,MesoWest,0
MESC2,MESA_LAKES,39.06,-108.06,3048,SNOTEL,MesoWest,0
MFKC2,MIDDLE_FORK_CAMP,39.8,-106.03,2743,SNOTEL,MesoWest,0
MHPC2,HIGH_PARK_NEAR_MASONVILLE_4NNW,40.5367,-105.245,2204,HADS,MesoWest,0
MIHC2,MICHIGAN_CREEK,39.43,-105.92,3231,SNOTEL,MesoWest,0
MINC2,MINERAL_CREEK,37.85,-107.73,3060,SNOTEL,MesoWest,2.5
MLSC2,MOLAS_LAKE,37.75,-107.69,3200,SNOTEL,MesoWest,0
MMSC2,MINCIC_MET_STATION_NEAR_HOUGHTON,37.4503,-103.8625,1550,HADS,MesoWest,0
MMTC2,MANITOU_SPRINGS_MET_BELOW_RUXTON_CREEK,38.8581,-104.9128,1937,HADS,MesoWest,0
MNCC2,MANCOS,37.43,-108.17,3048,SNOTEL,MesoWest,0
MOGC2,CONEJOS_RIVER_NEAR_MOGOTE_(CONMOGCO),37.0539,-106.1869,2580,HADS,MesoWest,0.3
MOPC2,MOON_PASS,37.95,-106.55,3396,SNOTEL,MesoWest,0
MOWC2,MONUMENT_CREEK_ABOVE_WOODMEN_ROAD_NEAR_COLORADO_SPRINGS_7N,38.9339,-104.8167,1928,HADS,MesoWest,0
MUDC2,MUDDY_CREEK_BELOW_MUDDY_CREEK_DAM_NEAR_TOONERVILLE_NEAR_LAS_ANIMAS_21S,37.7628,-103.2294,1296,HADS,MesoWest,0
NEVC2,NEVER_SUMMER,40.4,-105.96,3133,SNOTEL,MesoWest,0
NIWC2,NIWOT,40.04,-105.54,3021,SNOTEL,MesoWest,0
NLSC2,NORTH_LOST_TRAIL,39.08,-107.14,2804,SNOTEL,MesoWest,0
NSSC2,NAST_LAKE,39.3,-106.61,2652,SNOTEL,MesoWest,2.5
OLYC2,OLYMPUS_DAM_AT_LAKE_ESTES_PARK_NEAR_ESTES_PARK_2E_(OLYDAMCO),40.3758,-105.4878,2272,HADS,MesoWest,0.2
OVRC2,OVERLAND_RES,39.09,-107.63,3011,SNOTEL,MesoWest,2.6
PBAC2,PUEBLO_RESERVOIR_NEAR_PUEBLO,38.2597,-104.7181,1477,HADS,MesoWest,0
PGRC2,PURGATOIRE_RIVER_BELOW_TRINIDAD_RESERVOIR_NEAR_TRINIDAD_3SW,37.1439,-104.5472,1856,HADS,MesoWest,0
PHTC2,PHANTOM_VALLEY,40.4,-105.85,2752,SNOTEL,MesoWest,0
PKCC2,PARK_CONE,38.82,-106.59,2926,SNOTEL,MesoWest,0
PLRC2,PLATORO_RESERVOIR_NEAR_PLATORO_NEAR_PAGOSA_SPRINGS_30ENE_(PLARESCO),39.3653,-107.175,2082,HADS,MesoWest,0
PRPC2,PORPHYRY_CREEK,38.49,-106.34,3280,SNOTEL,MesoWest,0
PRVC2,PARK_RESERVOIR,39.05,-107.87,3036,SNOTEL,MesoWest,0
PTAC2,SAND_GULCH_MET_ABOVE_CHIPITA_PARK,38.9486,-104.9747,2876,HADS,MesoWest,0
RATC2,RATON_CREEK_NEAR_STARKVILLE,37.1264,-104.5236,1920,HADS,MesoWest,0
RAWC2,RAWAH,40.71,-106.01,2749,SNOTEL,MesoWest,2.6
RCPC2,RIPPLE_CREEK,40.11,-107.29,3152,SNOTEL,MesoWest,5
RESC2,RABBIT_EARS,40.37,-106.74,2865,SNOTEL,MesoWest,0
RFCC2,RANGE_111_MET_STATION_AT_FORT_CARSON,38.6203,-104.7261,1707,HADS,MesoWest,0
RGBC2,RIO_GRANDE_AT_MOUTH_OF_BOX_CANYON,37.7747,-107.1414,2750,HADS,MesoWest,0
RISC2,HIGH_PARK_RAIN_ON_RIST_CANYON_RD_NEAR_BELVUE_6WNW,40.6461,-105.2803,2074,HADS,MesoWest,0
RMPC2,RED_MOUNTAIN_PASS,37.89,-107.71,3399,SNOTEL,MesoWest,0
ROAC2,ROACH,40.88,-106.05,2957,SNOTEL,MesoWest,0
ROUC2,ROUGH_AND_TUMBLE,39.03,-106.08,3158,SNOTEL,MesoWest,0
RTMC2,ROUTE_TWO_WINDMILL_MET_STATION_NEAR_TYRONE,37.3914,-104.0347,1605,HADS,MesoWest,0
SCKC2,SAGUACHE_CREEK_NEAR_SAGUACHE_10WNW,38.1633,-106.29,2454,HADS,MesoWest,0
SCOC2,SOUTH_FORK_RIO_GRANDE_BELOW_COLUMBINE_CREEK,37.5744,-106.7533,2617,HADS,MesoWest,0
SCSC2,STILLWATER_CREEK,40.23,-105.92,2658,SNOTEL,MesoWest,0
SCYC2,SOUTH_COLONY,37.97,-105.54,3292,SNOTEL,MesoWest,0
SGMC2,SARGENTS_MESA,38.283,-106.367,3514,SNOTEL,MesoWest,0
SHSC2,SCOTCH_CREEK,37.65,-108.01,2774,SNOTEL,MesoWest,0
SKCC2,HIGH_PARK_RAIN_AT_SKY_VIEW_RANCH_NEAR_STOVE_PRAIRIE_NEAR_POUDRE_PARK_6SW,40.6294,-105.3869,2314,HADS,MesoWest,0.2
SKZC2,SHARKSTOOTH,37.5,-108.11,3267,SNOTEL,MesoWest,0
SLMC2,SLUMGULLION,37.99,-107.2,3523,SNOTEL,MesoWest,0
SMSC2,SAN_ANTONIO_RIVER_NEAR_MANASSA_3E_(SANMANCO),37.1769,-105.8764,2341,HADS,MesoWest,0
SOSC2,SCHOFIELD_PASS,39.02,-107.05,3261,SNOTEL,MesoWest,2.6
SPMC2,SULLIVAN_PARK_MET_STATION_AT_FORT_CARSON,38.5331,-104.9019,1835,HADS,MesoWest,0
SPSC2,SPUD_MOUNTAIN,37.7,-107.78,3249,SNOTEL,MesoWest,0
SRGC2,SOUTH_FORK_RIO_GRANDE_RIVER_NEAR_SOUTH_FORK_2SW,37.6569,-106.6486,2532,HADS,MesoWest,0
STPC2,STUMP_LAKES,37.48,-107.63,3414,SNOTEL,MesoWest,0
SUMC2,SUMMIT_RANCH,39.72,-106.16,2865,SNOTEL,MesoWest,0
SVPC2,HIGH_PARK_RAIN_AT_STOVE_PRAIRIE_NEAR_POUDRE_PARK_5SW,40.6194,-105.3594,2238,HADS,MesoWest,0
TARC2,TAYLOR_ARROYO_BELOW_ROCK_CROSSING_NEAR_THATCHER_15SE,37.4242,-103.9197,1529,HADS,MesoWest,0
TCHC2,TRINCHERA,37.35,-105.23,3310,SNOTEL,MesoWest,0
TLSC2,TRAPPER_LAKE,40,-107.24,2957,SNOTEL,MesoWest,0
TOWC2,TOWER,40.54,-106.68,3200,SNOTEL,MesoWest,0
TRBC2,TAYLOR_RIVER_BELOW_TAYLOR_PARK_RESERVOIR_NEAR_ALMONT_18N,38.8183,-106.6086,2845,HADS,MesoWest,0
TRQC2,TURQUOISE_LAKE_(SUGARLOAF_DAM)_NEAR_LEADVILLE_4W,39.2528,-106.3742,2999,HADS,MesoWest,0
TTRC2,TRINCHERA_CREEK_ABOVE_TURNER'S_RANCH_9SE_(TRITURCO),37.3744,-105.2944,2607,HADS,MesoWest,0
TYLC2,TARRYALL_CREEK_BELOW_TARRYALL_RESERVOIR_NEAR_TARRYALL_10NW_(TARTARCO),39.2233,-105.6056,2714,HADS,MesoWest,0
TYRC2,BROWN_SHEEP_CAMP_MET_STATION_NEAR_TYRONE_6SE,37.3886,-104.1258,1646,HADS,MesoWest,0
UBCC2,UPPER_BENT_CANYON_MET_STATION_NEAR_DELHI,37.6389,-103.7819,1480,HADS,MesoWest,0
UFGC2,UTE_CREEK_NEAR_FORT_GARLAND_2N,37.4472,-105.425,2460,HADS,MesoWest,0
UPTC2,UPPER_TAYLOR,38.99,-106.75,3243,SNOTEL,MesoWest,0
UQCC2,UPPER_QUEENS_CANYON_NEAR_ORMES_PEAK_NEAR_CASCADE_4NNE,38.9444,-104.9325,2859,HADS,MesoWest,0
URCC2,UPPER_RED_ROCK_CANYON_MET_STATION_NEAR_HOUGHTON,37.5533,-103.825,1510,HADS,MesoWest,0
URGC2,UPPER_RIO_GRANDE,37.72,-107.26,2865,SNOTEL,MesoWest,0
UTCC2,UTE_CREEK,37.61,-105.37,3246,SNOTEL,MesoWest,0
UVCC2,UNIVERSITY_CAMP,40.03,-105.58,3139,SNOTEL,MesoWest,0
UWAC2,UPPER_WALDO_CANYON_MET_ABOVE_CASCADE_2NE,38.9133,-104.9503,2884,HADS,MesoWest,0
UWIC2,UPPER_WILLIAMS_CANYON_MET_ABOVE_MANITOU_SPRINGS_2N,38.8933,-104.9139,2417,HADS,MesoWest,0
VALC2,VALLECITO,37.49,-107.51,3316,SNOTEL,MesoWest,0
VBMC2,VAN_BREMER_ARROYO_NEAR_MODEL_16_ESE,37.3456,-103.9575,1537,HADS,MesoWest,0
VLMC2,VAIL_MOUNTAIN,39.62,-106.38,3139,SNOTEL,MesoWest,0
WCSC2,WOLF_CREEK_SUMMIT,37.48,-106.8,3353,SNOTEL,MesoWest,0
WLBC2,WILD_BASIN,40.2,-105.6,2914,SNOTEL,MesoWest,2.5
WLLC2,WILLOW_CREEK_PASS,40.35,-106.09,2908,SNOTEL,MesoWest,0
WPKW4,WHISKEY_PARK,41,-106.91,2728,SNOTEL,MesoWest,0
WPRC2,WILLOW_PARK,40.43,-105.73,3261,SNOTEL,MesoWest,2.6
WSKC2,WHISKEY_CK,37.21,-105.12,3115,SNOTEL,MesoWest,10.1
WSVC2,ARKANSAS_RIVER_NEAR_WELLESVILLE_NEAR_SALIDA_4SE,38.5025,-105.9392,2115,HADS,MesoWest,0
YHMC2,YOUNG_HOLLOW_MET_STATION_AT_FORT_CARSON,38.5192,-104.7203,1632,HADS,MesoWest,0
ZIRC2,ZIRKEL,40.79,-106.6,2847,SNOTEL,MesoWest,0
AGPC2,CENTRAL_GREAT_PLAINS_AKRON_4_E_CO_US,40.1551,-103.1417,1384.402,GSD_ESRL,HCN2,0
BVAC2,C_CO_AIRPORT_BUENA_VISTA_2_SSE_CO_US,38.811,-106.1219,2417.978,GSD_ESRL,HCN2,0
CETC2,CSU_SLVRC_CENTER_A_4_SSW_CO_US,37.7066,-106.1444,2350.0081,GSD_ESRL,HCN2,0
ESAC2,SAND_CREEK_EADS_16_ENE_CO_US,38.5443,-102.5025,1209.142,GSD_ESRL,HCN2,0.53888
ESLC2,SYLVAN_LAKE_SP_EAGLE_13_SSE_CO_US,39.4827,-106.7337,2622.804,GSD_ESRL,HCN2,0
GJXC2,CO_NAT_MONUMNT_GRAND_JUNCTION_9W_CO_US,39.1018,-108.7353,1769.6689,GSD_ESRL,HCN2,0
GNAC2,WOODLIN_SCHOOL_GENOA_35_N_CO_US,39.7857,-103.517,1452.067,GSD_ESRL,HCN2,0.22406
IFLC2,ROAN_PLATEAU_RIFLE_23_NW_CO_US,39.7608,-108.1268,2301.24,GSD_ESRL,HCN2,0
KCGC2,COMANCHE_GRASSLAND_KIM_9_WSW_CO_US,37.2168,-103.5042,1789.176,GSD_ESRL,HCN2,0
KRGC2,BLM_NEAR_CRAIG_30_N_CO_US,40.948,-107.6082,1986.686,GSD_ESRL,HCN2,0
MKRC2,RIO_BLANCO_LAKE_MEEKER_15_W_CO_US,40.0822,-108.1996,1755.953,GSD_ESRL,HCN2,0
NTUC2,MANITOU_FOREST_CO_SPRINGS_23_NW_CO_US,39.0878,-105.0879,2399.385,GSD_ESRL,HCN2,0
RFOC2,CSU_AVRC_ROCKY_FORD_1_ESE_CO_US,38.0386,-103.6948,1271.016,GSD_ESRL,HCN2,0
SFDC2,COMANCHE_GRASS_SPRINGFIELD_6_WSW_CO_US,37.3813,-102.7194,1388.973,GSD_ESRL,HCN2,0
SGHC2,SAGUACHE_AIRPORT_SAGUACHE_2_WNW_CO_US,38.0989,-106.1709,2384.45,GSD_ESRL,HCN2,0
SKKC2,LIBERTY_SCHOOL_KIRK_STRATTON_24N_CO_US,39.6553,-102.6217,1283.818,GSD_ESRL,HCN2,0
WPFC2,FOSSIL_BEDS_WOODLAND_PARK_14_WSW_CO_US,38.9105,-105.265,2601.468,GSD_ESRL,HCN2,0
U100,Carr_St,39.805,-105.091,1622.1456,UDFCD,Alert,0
U1000,Maple_Grove_Res,39.7554,-105.1368,1682.1912,UDFCD,Alert,0
U1010,Denver_West,39.732,-105.1520,1731.264,UDFCD,Alert,0
U1030,NREL_SERI,39.741,-105.176,1828.8,UDFCD,Alert,0
U1040,Lena_at_Hwy_6,39.725,-105.193,1804.416,UDFCD,Alert,6.731
U1050,Fairgrounds,39.7189,-105.1678,1804.416,UDFCD,Alert,0
U1060,Apex,39.71,-105.212,1956.816,UDFCD,Alert,5.461
U110,Ralston_Res,39.823,-105.246,1843.4304,UDFCD,Alert,0
U1100,Louisville_Dwy,39.973,-105.156,1665.4272,UDFCD,Alert,0
U1110,Gunbarrel,40.074,-105.178,1592.58,UDFCD,Alert,1.016
U120,Croke_Pump_Stn,39.82,-105.173,1703.832,UDFCD,Alert,0
U1200,Broomfield_3207,39.928,-105.064,1630.68,UDFCD,Alert,0
U1300,Hidden_Lake,39.818,-105.035,1612.392,UDFCD,Alert,0
U1310,Little_Dry_Creek_at_64th,39.813,-105.013,1609.344,UDFCD,Alert,0.254
U1320,SPR_at_Mausoleum,39.722,-105.01,1609.344,UDFCD,Alert,0
U1330,Roslyn,39.797,-104.901,1613.3064,UDFCD,Alert,0
U1340,Sanderson_Gulch,39.684,-105.05,1652.3208,UDFCD,Alert,0
U1350,Chatfield_Dam,39.557,-105.078,1697.4312,UDFCD,Alert,0
U1360,Denver_Zoo,39.751,-104.954,1605.0768,UDFCD,Alert,0.254
